brand_name,years_in_market,audience_reach,market_share,type_of_brand,reviews,sentiment_score,seo_score
PulseMedia,15,4451233.0,2.31,Telecom,1.0,77.0,85
OrbitTech,16,3093178.0,1.95,Energy,2.0,-36.0,52
PioneerDigital,16,4564647.0,3.79,Manufacturing,5.0,-65.0,7
NovaLogics,22,2631234.0,19.73,Healthcare,2.0,-89.0,79
AuroraCore,1,3691349.0,8.34,Energy,5.0,100.0,38
RadiantLink,9,4679642.0,4.87,Consulting,3.0,66.0,2
AuroraDigital,33,824283.0,11.37,Logistics,1.0,40.0,25
VertexSystems,17,1223702.0,9.57,Consulting,3.0,92.0,99
FusionSystems,2,3623481.0,6.85,Media,4.0,-90.0,11
BeaconSystems,26,4892135.0,1.56,Manufacturing,2.0,-93.0,2
AuroraEnergy,2,4413186.0,15.03,Manufacturing,2.0,76.0,3
OrbitLogics,2,3332467.0,3.15,Logistics,4.0,54.0,17
OrbitLink,3,1758742.0,16.15,Fintech,5.0,48.0,55
OrbitPoint,32,3846244.0,14.04,Hospitality,1.0,-76.0,54
EverestFoods,12,3152650.0,1.04,Logistics,2.0,-46.0,95
VertexLabs,19,3228198.0,15.28,Education,2.0,-21.0,16
PioneerWorks,13,1114793.0,8.6,Food,5.0,-13.0,80
ZenLabs,26,1733115.0,13.2,Logistics,5.0,-89.0,32
ZenLabs,39,2108899.0,6.0,Media,1.0,24.0,97
VertexEnergy,10,1809640.0,18.74,Tourism,4.0,-53.0,78
PrimeRetail,29,4235930.0,15.38,IT,1.0,-34.0,96
PulseGlobal,31,1290271.0,16.58,Healthcare,5.0,-5.0,64
OrbitPoint,40,3307338.0,14.12,Telecom,3.0,-58.0,70
EverestMedia,40,2183926.0,9.95,Logistics,5.0,-48.0,69
OrbitTravel,5,4918357.0,7.12,Fintech,1.0,18.0,97
PioneerDigital,14,806314.0,2.91,Manufacturing,1.0,89.0,24
FusionHub,14,4524423.0,10.11,Food,3.0,-56.0,46
NexusRetail,3,2779972.0,4.6,Energy,1.0,-14.0,63
RadiantHealth,20,4350010.0,11.95,Energy,2.0,50.0,21
OrbitHub,32,2214884.0,2.68,Tourism,5.0,27.0,83
QuantumLogics,38,2562097.0,13.76,Education,2.0,-11.0,53
ZenCore,17,865441.0,16.04,Fintech,4.0,37.0,10
PioneerTravel,12,3541892.0,6.42,Energy,2.0,-49.0,1
AtlasSystems,3,3919875.0,9.28,Tourism,2.0,46.0,24
NimbusHub,26,763219.0,0.7,Healthcare,5.0,23.0,61
FusionSystems,25,3511518.0,2.2,Fintech,1.0,-21.0,77
NexusFoods,26,2022012.0,8.72,Tourism,3.0,40.0,98
EverestDigital,23,1367369.0,5.59,Energy,4.0,84.0,25
VertexGlobal,6,4248479.0,12.41,Media,2.0,-54.0,64
ZenTravel,9,4778628.0,12.11,IT,2.0,26.0,76
BeaconCore,33,4752764.0,13.38,Telecom,4.0,-21.0,36
VelocityNet,32,698753.0,3.0,Healthcare,4.0,51.0,60
HorizonLink,34,394991.0,4.52,Logistics,4.0,-69.0,69
NimbusEnergy,38,3132619.0,2.32,Consulting,1.0,-45.0,55
VelocityZone,10,2277762.0,2.17,Education,3.0,-41.0,16
RadiantLogics,23,1849293.0,19.57,Telecom,5.0,-42.0,39
EverestRetail,9,1442356.0,9.85,Telecom,3.0,-54.0,1
AtlasLabs,5,4063884.0,2.1,IT,4.0,87.0,35
NexusEnergy,25,3439608.0,10.54,Ecommerce,5.0,-7.0,68
AuroraLogics,21,4533131.0,16.39,Retail,2.0,-75.0,11
AtlasTech,29,1636230.0,18.98,Food,1.0,-19.0,59
RadiantLogics,5,4793661.0,16.03,Food,5.0,-36.0,30
HorizonLabs,29,4818729.0,6.16,Telecom,4.0,96.0,66
QuantumTech,28,1710830.0,11.29,Fintech,1.0,-71.0,79
PioneerMedia,32,1641948.0,12.16,Energy,3.0,26.0,26
BeaconEdge,29,2530283.0,11.83,Logistics,3.0,-7.0,26
RadiantHub,34,2385267.0,2.21,Manufacturing,5.0,-21.0,44
BeaconLabs,7,1309037.0,8.93,Ecommerce,5.0,-9.0,15
AuroraLogics,33,3503762.0,13.69,Food,1.0,24.0,83
OrbitRetail,1,4474828.0,7.27,Tourism,5.0,3.0,81
BeaconHealth,19,279993.0,2.33,Hospitality,1.0,-61.0,46
VertexEdge,37,68274.0,15.52,Ecommerce,2.0,100.0,27
PrimeMedia,2,3930694.0,10.53,IT,3.0,57.0,94
PulseSystems,25,872072.0,15.24,Tourism,5.0,47.0,83
VelocityRetail,9,3034354.0,7.35,Food,2.0,29.0,68
BeaconEnergy,9,880760.0,16.77,Tourism,2.0,-11.0,16
VertexGlobal,7,2147670.0,3.4,Media,3.0,-97.0,5
VertexTravel,15,3687822.0,9.47,Retail,5.0,-55.0,70
VelocityLink,2,4859786.0,14.14,Telecom,1.0,-67.0,71
BeaconFoods,40,1245961.0,5.06,IT,4.0,66.0,39
VelocityWorks,26,1487211.0,4.65,Telecom,3.0,64.0,24
PulseZone,15,2727475.0,17.18,Tourism,3.0,72.0,47
AtlasHub,23,3846500.0,5.47,Fintech,3.0,21.0,69
BeaconRetail,23,1175233.0,11.36,IT,4.0,-99.0,14
EverestGlobal,26,907486.0,4.8,Healthcare,3.0,-92.0,14
SummitLabs,10,4963893.0,9.52,Consulting,3.0,51.0,76
AtlasDigital,6,2559854.0,11.1,Telecom,3.0,-13.0,72
EverestGlobal,1,2294123.0,4.69,Manufacturing,2.0,58.0,68
NovaMedia,3,1542596.0,12.99,Education,4.0,-26.0,100
VelocityFoods,9,1405613.0,11.56,Media,5.0,14.0,17
NovaWorks,33,3645619.0,6.23,Retail,2.0,1.0,72
VelocityLink,12,2149838.0,16.28,IT,1.0,85.0,2
ZenZone,36,1858879.0,2.99,Tourism,4.0,-98.0,91
ZenPoint,21,1276492.0,14.37,Healthcare,5.0,5.0,96
VertexSystems,17,4847402.0,10.08,IT,2.0,83.0,63
AuroraMedia,5,1888060.0,19.7,Hospitality,4.0,22.0,6
ZenFoods,5,4056738.0,10.94,Tourism,4.0,-50.0,82
NimbusLabs,6,3020624.0,2.21,Healthcare,5.0,41.0,20
PulseTech,13,3319397.0,9.14,Retail,4.0,51.0,64
PrimePoint,33,4359422.0,10.06,Retail,2.0,-73.0,21
AuroraHealth,33,4975004.0,14.98,Logistics,5.0,89.0,13
NimbusLogics,12,2074393.0,12.62,Healthcare,5.0,-61.0,88
ZenTech,5,897564.0,6.38,Consulting,2.0,71.0,18
RadiantCore,38,2371677.0,18.78,Hospitality,5.0,-8.0,70
RadiantEdge,16,2038919.0,15.55,Logistics,2.0,-99.0,14
BeaconHub,28,1697318.0,1.89,Fintech,3.0,-14.0,5
RadiantEnergy,26,2793197.0,0.74,Hospitality,3.0,33.0,66
FusionLogics,17,3718221.0,19.44,Tourism,3.0,5.0,13
AuroraDigital,19,4163584.0,16.58,Education,1.0,6.0,54
RadiantLabs,2,1921882.0,3.93,Retail,5.0,66.0,39
AuroraCore,19,2692817.0,4.93,Fintech,2.0,67.0,30
VertexLink,35,2957954.0,8.33,Food,4.0,-30.0,32
FusionLink,19,4010895.0,10.09,Food,2.0,25.0,42
QuantumHealth,22,1235507.0,4.56,Retail,1.0,-38.0,64
VelocityDigital,2,400434.0,2.64,Education,3.0,84.0,47
NovaNet,31,4456078.0,11.74,Fintech,4.0,-58.0,84
OrbitWorks,11,1251126.0,13.26,Food,4.0,-20.0,36
NexusEnergy,1,4260671.0,16.12,Consulting,2.0,80.0,7
RadiantGlobal,27,1850819.0,17.19,Fintech,2.0,-3.0,51
AtlasWorks,19,4410813.0,19.35,IT,2.0,30.0,94
OrbitNet,24,2063717.0,16.77,Retail,5.0,70.0,38
PulseRetail,8,2760824.0,11.66,Tourism,2.0,83.0,50
OrbitTravel,22,4141684.0,14.86,Manufacturing,2.0,88.0,84
HorizonEdge,33,3459898.0,11.09,Media,2.0,49.0,86
ApexCore,16,1733317.0,15.61,Food,5.0,40.0,28
NexusFoods,38,4836805.0,15.24,Hospitality,4.0,59.0,3
NovaPoint,18,4277717.0,1.1,Energy,2.0,34.0,31
ApexHub,15,967024.0,17.99,Consulting,1.0,-97.0,70
EverestHub,4,2869952.0,9.65,Consulting,4.0,44.0,30
QuantumFoods,36,802964.0,8.36,Fintech,1.0,77.0,81
VelocityLogics,37,3717150.0,14.46,Fintech,4.0,-52.0,20
ApexWorks,5,3919964.0,6.17,Manufacturing,3.0,19.0,84
AuroraHub,4,91143.0,5.86,Manufacturing,1.0,-57.0,88
VelocityZone,14,4724680.0,19.7,Healthcare,5.0,-7.0,53
ApexEnergy,14,4121394.0,6.41,Energy,1.0,11.0,59
ZenTech,30,4779996.0,0.22,Logistics,5.0,-82.0,100
VelocityDigital,9,4072271.0,2.9,Tourism,2.0,-77.0,33
PulseMedia,12,3519077.0,11.71,Manufacturing,3.0,-46.0,8
PrimeWorks,13,1571591.0,2.14,Hospitality,1.0,-2.0,78
NimbusDigital,18,449527.0,4.29,IT,1.0,61.0,90
QuantumHub,7,4684646.0,11.54,Ecommerce,4.0,-83.0,16
RadiantLogics,19,1356525.0,4.53,Food,2.0,70.0,90
SummitHub,15,778209.0,7.6,Manufacturing,1.0,47.0,97
VelocityLink,14,4387804.0,8.59,Food,4.0,-69.0,67
SummitHub,23,982376.0,13.61,Telecom,5.0,-86.0,3
AuroraPoint,5,4551374.0,7.36,Education,5.0,54.0,65
AtlasSystems,19,1973002.0,0.84,Food,4.0,11.0,32
AtlasZone,4,264039.0,8.11,Consulting,2.0,88.0,55
OrbitSystems,28,487941.0,18.92,Retail,2.0,5.0,43
ZenPoint,31,1568457.0,8.56,IT,3.0,3.0,51
OrbitWorks,2,4554609.0,5.83,Retail,2.0,30.0,33
FusionRetail,17,1914445.0,12.37,IT,3.0,29.0,8
QuantumMedia,17,1813179.0,1.76,IT,1.0,43.0,11
RadiantMedia,36,3198635.0,7.74,Retail,2.0,-38.0,44
AtlasNet,21,4330510.0,0.65,Food,1.0,-61.0,91
VelocityTravel,5,1545625.0,10.96,Hospitality,1.0,-85.0,31
QuantumGlobal,17,3342373.0,6.8,Fintech,3.0,69.0,9
QuantumCore,26,742465.0,15.07,Tourism,2.0,5.0,73
SummitPoint,33,1983204.0,5.02,Education,1.0,-67.0,18
HorizonGlobal,20,324236.0,15.32,Telecom,5.0,66.0,10
PulseFoods,36,1296602.0,13.06,Energy,3.0,74.0,48
PrimeLogics,17,2667248.0,7.98,Consulting,4.0,49.0,28
PulseLogics,10,4391780.0,19.44,Retail,4.0,-73.0,89
EverestGlobal,4,1992237.0,5.21,Tourism,1.0,73.0,39
AtlasSystems,31,2428335.0,13.11,IT,5.0,-9.0,35
RadiantNet,28,1084411.0,16.37,Tourism,2.0,-30.0,60
VelocityCore,33,3886023.0,18.58,Logistics,5.0,63.0,16
NexusLabs,7,3175821.0,15.94,Energy,5.0,-43.0,43
NexusLabs,30,1045121.0,1.7,Ecommerce,1.0,-86.0,39
VelocityLink,10,1694783.0,5.38,Healthcare,5.0,60.0,55
NimbusNet,40,4755948.0,10.5,IT,4.0,-87.0,26
HorizonTech,22,671635.0,12.48,Hospitality,4.0,18.0,87
ApexLogics,10,3999752.0,13.49,Tourism,2.0,43.0,17
AtlasDigital,2,3389333.0,13.46,Energy,3.0,-34.0,99
HorizonEnergy,14,551729.0,18.66,Tourism,3.0,0.0,30
OrbitHub,2,297435.0,13.07,Manufacturing,4.0,-92.0,93
NovaHealth,38,3255965.0,7.22,Logistics,5.0,-65.0,12
HorizonLogics,18,2495920.0,4.49,Hospitality,4.0,-89.0,62
PrimeEdge,30,1234613.0,17.29,Logistics,2.0,-59.0,84
NexusHub,9,4683729.0,16.61,Hospitality,3.0,-24.0,73
AtlasEnergy,16,2110523.0,6.11,Education,2.0,60.0,38
BeaconTech,37,3194307.0,19.39,Tourism,4.0,-72.0,35
NexusFoods,34,3442898.0,18.17,Education,4.0,-62.0,28
ApexFoods,3,3798587.0,5.83,Manufacturing,5.0,54.0,64
PioneerLogics,32,3796465.0,18.49,IT,3.0,-23.0,21
QuantumEdge,17,1625454.0,13.61,Fintech,5.0,75.0,70
HorizonCore,24,1999859.0,13.48,IT,4.0,-57.0,46
NexusCore,10,4064710.0,13.82,Food,5.0,26.0,68
ZenZone,32,2143687.0,13.47,Logistics,3.0,-61.0,97
EverestEdge,20,4576252.0,17.06,Retail,5.0,-65.0,34
NimbusHub,21,1730074.0,19.13,Logistics,3.0,-38.0,73
PioneerTech,3,83045.0,14.39,Manufacturing,5.0,-11.0,58
PrimeMedia,39,4984473.0,16.15,Food,5.0,42.0,55
EverestDigital,25,1441321.0,0.62,Manufacturing,3.0,-65.0,86
HorizonWorks,37,4827578.0,17.77,IT,5.0,40.0,97
AtlasLogics,38,2617738.0,13.84,Manufacturing,4.0,-57.0,15
NexusEnergy,35,3956526.0,5.77,Tourism,5.0,-42.0,0
PulseLogics,13,2108868.0,6.67,Energy,3.0,-26.0,9
ZenPoint,38,3712861.0,16.16,Healthcare,5.0,89.0,62
RadiantLabs,11,3455427.0,0.12,Consulting,3.0,17.0,41
PrimeZone,26,1920071.0,6.6,Telecom,2.0,26.0,12
FusionTravel,4,551122.0,7.28,Telecom,1.0,37.0,16
NexusHealth,24,4098706.0,3.14,Energy,5.0,64.0,30
SummitNet,24,2166479.0,15.08,Logistics,3.0,-40.0,58
BeaconTravel,36,2292660.0,11.25,Media,2.0,-75.0,99
AtlasLabs,16,3096386.0,3.72,Healthcare,1.0,62.0,91
OrbitCore,11,4792334.0,16.31,Consulting,5.0,-74.0,95
SummitSystems,11,1242608.0,17.78,Healthcare,5.0,-57.0,76
SummitHealth,5,4929021.0,9.72,Food,1.0,-18.0,6
PulseCore,12,4482941.0,9.04,Energy,3.0,-69.0,11
PioneerEnergy,33,1007667.0,14.33,Fintech,3.0,41.0,85
HorizonLabs,33,2479674.0,14.18,Energy,1.0,0.0,90
PrimeTech,4,1229606.0,1.36,Hospitality,3.0,46.0,41
NimbusMedia,39,3462762.0,17.83,Fintech,2.0,-33.0,26
ApexMedia,10,2510569.0,6.37,Consulting,5.0,-24.0,92
ZenZone,12,2492936.0,6.57,Logistics,2.0,-73.0,89
AtlasLabs,13,3740335.0,14.79,Hospitality,3.0,-38.0,60
AtlasMedia,20,1382503.0,17.14,Telecom,5.0,94.0,18
EverestTravel,6,253501.0,6.44,Food,5.0,-38.0,59
VertexFoods,34,4210957.0,10.82,Fintech,2.0,91.0,17
ApexPoint,3,4990634.0,6.73,Energy,2.0,-62.0,92
FusionRetail,26,3241433.0,17.42,Fintech,4.0,86.0,35
PioneerDigital,27,339355.0,12.22,Food,5.0,-76.0,79
SummitLabs,8,40014.0,14.06,Consulting,5.0,-12.0,71
BeaconPoint,27,4681224.0,1.38,Consulting,5.0,-36.0,4
VertexPoint,16,952458.0,14.04,Telecom,5.0,88.0,5
FusionFoods,16,3502288.0,13.37,Fintech,5.0,93.0,70
PioneerEnergy,39,495738.0,0.21,Telecom,3.0,-61.0,17
HorizonZone,15,3158400.0,17.52,Fintech,4.0,94.0,62
ZenEdge,37,2050666.0,12.15,Education,4.0,-60.0,81
VelocityWorks,17,3805556.0,5.64,Ecommerce,5.0,2.0,44
NexusLabs,37,1385713.0,3.95,Manufacturing,2.0,67.0,84
NovaSystems,27,2516920.0,15.1,Education,1.0,-48.0,9
RadiantWorks,30,1437853.0,0.8,Food,5.0,16.0,34
PioneerRetail,37,324584.0,9.87,Manufacturing,2.0,61.0,11
BeaconFoods,23,4841911.0,19.74,Education,3.0,-60.0,24
EverestSystems,3,1851902.0,13.18,Fintech,1.0,38.0,6
EverestFoods,25,4048933.0,17.57,Media,3.0,-59.0,71
OrbitCore,32,4763054.0,14.94,Telecom,2.0,-13.0,0
VertexEnergy,22,1469980.0,13.58,Manufacturing,5.0,-63.0,90
PulseEnergy,18,213226.0,12.23,Media,2.0,84.0,2
QuantumEdge,2,4429103.0,11.13,Food,2.0,3.0,44
PioneerWorks,23,3621366.0,13.85,Consulting,2.0,-53.0,87
PrimeMedia,24,1511561.0,5.18,Education,4.0,71.0,65
HorizonGlobal,10,772865.0,8.19,Fintech,5.0,62.0,96
NimbusLabs,40,1976637.0,12.47,Fintech,2.0,61.0,96
ApexHub,10,1463168.0,3.7,Hospitality,5.0,62.0,89
BeaconLink,29,2493089.0,15.84,Healthcare,1.0,36.0,36
SummitFoods,4,1958764.0,16.21,Energy,1.0,49.0,6
NovaCore,12,2061497.0,13.78,Healthcare,3.0,-21.0,0
VertexHub,14,976836.0,3.5,Manufacturing,3.0,-99.0,16
RadiantRetail,17,1216410.0,2.64,Consulting,4.0,-20.0,9
PrimeFoods,16,3534290.0,10.42,IT,4.0,-79.0,68
VelocityPoint,26,4554972.0,14.87,Education,4.0,37.0,61
NovaLogics,30,2372296.0,9.34,Education,3.0,-44.0,83
PulseFoods,23,533601.0,9.86,Ecommerce,4.0,20.0,43
AtlasEdge,9,3692873.0,10.22,Media,5.0,-95.0,5
NimbusSystems,16,2202950.0,8.18,Telecom,2.0,81.0,66
AtlasHub,14,2930549.0,5.86,Ecommerce,1.0,-85.0,21
NexusEdge,30,2696071.0,4.46,Logistics,1.0,-50.0,23
ZenSystems,22,4963838.0,8.01,Energy,1.0,28.0,8
HorizonSystems,25,1924433.0,0.46,Ecommerce,4.0,96.0,6
NovaPoint,8,1202905.0,3.01,IT,4.0,5.0,71
PioneerEdge,13,299789.0,8.64,Energy,4.0,24.0,73
EverestMedia,28,1332184.0,17.16,Hospitality,5.0,-67.0,11
PulseEdge,20,2624697.0,17.98,Education,1.0,-34.0,22
SummitNet,5,1278638.0,13.11,Media,3.0,-33.0,2
FusionGlobal,32,2677195.0,2.35,IT,2.0,78.0,65
OrbitEnergy,25,259150.0,13.69,Hospitality,5.0,3.0,38
AtlasFoods,28,3654809.0,0.14,Food,3.0,23.0,98
NimbusZone,16,894435.0,2.36,Energy,5.0,-95.0,54
SummitLink,30,677860.0,9.81,Ecommerce,4.0,76.0,77
AuroraSystems,14,4511372.0,12.12,IT,3.0,-91.0,54
ApexEnergy,29,1565269.0,17.56,Retail,2.0,74.0,91
PioneerEnergy,35,4115283.0,19.08,Media,5.0,-37.0,94
AtlasDigital,22,596107.0,10.08,Ecommerce,2.0,25.0,54
RadiantMedia,34,394681.0,1.21,IT,2.0,47.0,11
PioneerSystems,26,2506723.0,5.87,Energy,3.0,-98.0,97
NimbusPoint,25,1549178.0,15.55,Manufacturing,1.0,23.0,36
VertexNet,9,2173076.0,4.15,Manufacturing,5.0,-48.0,26
FusionPoint,39,2211225.0,13.42,Energy,2.0,48.0,46
PrimeTravel,15,132874.0,5.53,Telecom,5.0,-56.0,61
FusionZone,28,442045.0,14.79,Hospitality,5.0,-22.0,36
AtlasLabs,35,3150016.0,0.32,Manufacturing,1.0,17.0,92
PioneerLogics,33,94907.0,13.88,IT,3.0,-45.0,5
SummitTravel,18,2237234.0,8.37,Energy,5.0,23.0,67
NimbusRetail,24,2736532.0,7.67,Hospitality,2.0,2.0,57
PrimeFoods,6,2843783.0,3.24,Energy,5.0,-21.0,39
QuantumLabs,13,3241256.0,7.16,Healthcare,4.0,-61.0,88
FusionNet,27,1906228.0,6.4,Manufacturing,2.0,29.0,19
OrbitPoint,19,4366744.0,7.31,IT,4.0,63.0,15
BeaconLogics,26,2192596.0,13.47,Energy,3.0,26.0,96
AtlasHealth,22,3453773.0,12.7,IT,2.0,-76.0,21
PrimePoint,32,1742351.0,13.85,Energy,1.0,20.0,34
RadiantEnergy,21,245269.0,2.5,Telecom,1.0,87.0,75
AuroraTravel,10,2594747.0,7.1,Energy,5.0,-21.0,83
RadiantEnergy,37,2673030.0,15.07,Tourism,3.0,56.0,67
ZenNet,15,3337649.0,11.61,Consulting,1.0,-6.0,0
HorizonLogics,10,663209.0,18.37,Education,4.0,-66.0,65
PrimeMedia,32,4640060.0,11.96,Energy,2.0,-90.0,76
AtlasFoods,15,2823866.0,15.06,Healthcare,1.0,-6.0,66
BeaconTravel,9,275265.0,17.7,Media,3.0,18.0,5
NexusDigital,19,2225399.0,7.2,Tourism,1.0,89.0,6
QuantumLogics,8,1230161.0,6.82,Media,4.0,-17.0,4
PulseLink,34,1292455.0,11.44,Fintech,1.0,19.0,19
PrimeLogics,36,3821290.0,13.7,Logistics,4.0,48.0,49
PrimeGlobal,39,3253862.0,8.23,Logistics,5.0,2.0,21
NimbusEnergy,40,385337.0,12.54,Energy,2.0,-72.0,15
AtlasMedia,1,89859.0,6.95,Tourism,2.0,-28.0,83
ApexTech,9,2688722.0,7.63,IT,4.0,22.0,20
BeaconPoint,13,4618704.0,11.41,Hospitality,1.0,-79.0,98
AuroraNet,7,4708849.0,12.57,Tourism,2.0,-33.0,8
PulseEnergy,37,2148725.0,13.41,Retail,1.0,-67.0,64
ApexHub,24,3335703.0,17.76,Manufacturing,4.0,-59.0,28
ZenHealth,34,2932452.0,6.21,Tourism,2.0,-79.0,100
PioneerTech,37,1319756.0,6.82,Food,4.0,72.0,26
NimbusLabs,35,3003004.0,17.18,Consulting,4.0,28.0,14
HorizonLabs,28,674833.0,16.76,Food,3.0,-77.0,19
VelocityLabs,10,4519717.0,9.16,Retail,1.0,55.0,89
VertexEdge,34,3586154.0,0.46,Food,5.0,-86.0,89
ApexSystems,18,17537.0,4.97,Consulting,2.0,-94.0,85
SummitWorks,35,1965360.0,8.23,Energy,4.0,-62.0,91
AuroraRetail,36,2904429.0,13.53,Education,1.0,-33.0,32
EverestCore,37,4917913.0,6.21,Logistics,1.0,92.0,47
VertexFoods,34,4589434.0,18.87,Manufacturing,5.0,22.0,56
EverestEdge,20,4593067.0,3.89,Telecom,1.0,-34.0,77
AtlasGlobal,29,2838512.0,13.7,Telecom,1.0,-97.0,63
ZenLogics,33,2254177.0,19.65,Ecommerce,1.0,-44.0,46
NimbusEdge,37,650025.0,10.21,Energy,5.0,55.0,2
RadiantLink,26,2489985.0,1.46,IT,2.0,-33.0,16
PulseSystems,8,4829121.0,8.13,Retail,3.0,-83.0,27
NexusLink,2,2726734.0,8.72,Education,2.0,15.0,50
PioneerHub,26,3648352.0,1.47,IT,2.0,53.0,88
NimbusZone,37,1683291.0,1.41,Healthcare,1.0,-51.0,13
OrbitRetail,25,740166.0,8.61,Ecommerce,5.0,84.0,89
NexusGlobal,39,4605398.0,8.56,Food,5.0,5.0,47
PulseEdge,13,2824291.0,11.26,Tourism,4.0,-21.0,10
PioneerGlobal,13,335636.0,18.62,Retail,2.0,62.0,41
FusionSystems,35,1122597.0,13.61,Energy,5.0,-58.0,0
AuroraDigital,36,3339506.0,11.22,IT,3.0,-68.0,84
OrbitHub,31,3978630.0,6.99,Media,3.0,-90.0,37
VertexNet,17,891998.0,6.92,Media,5.0,50.0,25
NexusGlobal,17,362943.0,8.57,Tourism,1.0,-36.0,95
EverestLabs,7,4894143.0,15.03,Manufacturing,2.0,34.0,43
PioneerLogics,12,2974788.0,10.0,Retail,4.0,-20.0,17
AuroraWorks,3,2761878.0,15.46,Fintech,1.0,27.0,94
ApexPoint,26,1330619.0,13.24,Fintech,3.0,46.0,2
ApexGlobal,36,3012586.0,2.78,Fintech,3.0,-15.0,2
PioneerEdge,32,646240.0,18.84,Telecom,3.0,-39.0,1
PioneerLabs,38,2279003.0,3.27,Tourism,1.0,65.0,19
NovaTravel,13,2108002.0,15.8,Fintech,1.0,-78.0,63
ApexTravel,4,3895886.0,15.92,Food,2.0,-93.0,30
ApexTravel,4,4502134.0,2.3,Healthcare,2.0,-67.0,45
ApexZone,39,989364.0,19.15,Fintech,1.0,27.0,59
AtlasHealth,37,1681281.0,18.25,Healthcare,3.0,34.0,26
EverestEnergy,16,1034754.0,2.12,Food,3.0,-23.0,19
NimbusLabs,4,4351475.0,7.0,Energy,3.0,-49.0,4
BeaconGlobal,23,1994079.0,10.12,Telecom,3.0,7.0,38
ApexRetail,7,646400.0,9.38,Ecommerce,2.0,97.0,34
ApexLink,15,1302552.0,10.86,Hospitality,5.0,85.0,89
VertexHealth,37,3801890.0,3.99,Consulting,4.0,-14.0,54
VelocityHealth,6,4926426.0,16.05,Fintech,3.0,-4.0,86
VelocityDigital,17,2911250.0,2.77,Ecommerce,4.0,-8.0,12
NovaNet,13,130532.0,16.23,Food,1.0,-40.0,37
VelocityHub,35,63498.0,12.35,IT,2.0,7.0,44
VelocityWorks,12,1580326.0,7.34,Hospitality,2.0,-8.0,98
FusionCore,4,2733388.0,11.06,IT,4.0,83.0,3
VertexEnergy,32,3203682.0,12.92,Education,4.0,73.0,22
AtlasWorks,3,3466157.0,10.6,Media,1.0,81.0,44
RadiantEnergy,28,2268003.0,7.17,Energy,1.0,51.0,30
NimbusEnergy,30,2140326.0,15.55,Manufacturing,1.0,-31.0,58
VelocityHub,33,3135887.0,12.17,IT,2.0,24.0,91
NimbusRetail,26,1696581.0,8.14,Ecommerce,5.0,49.0,51
PulseWorks,5,758862.0,6.71,Retail,4.0,13.0,43
VertexTech,4,1618780.0,7.94,Telecom,1.0,99.0,31
VelocityNet,23,649420.0,5.34,Education,2.0,11.0,87
ZenEdge,31,3463417.0,12.39,Ecommerce,5.0,-53.0,89
NexusLink,14,3469358.0,7.15,Retail,1.0,-69.0,57
NexusZone,19,4493069.0,9.84,Hospitality,4.0,-96.0,95
OrbitLogics,32,2527312.0,9.31,Education,3.0,1.0,0
PulseHub,16,126668.0,7.1,Media,4.0,37.0,44
PulseGlobal,6,3670765.0,3.63,Hospitality,1.0,93.0,17
RadiantWorks,20,2788662.0,0.2,Fintech,3.0,-56.0,65
NovaRetail,32,308431.0,18.41,Energy,2.0,-16.0,48
RadiantWorks,32,2698453.0,15.26,Logistics,3.0,44.0,40
EverestLogics,19,4374825.0,1.87,Food,1.0,-17.0,78
AtlasCore,15,2079140.0,3.96,Healthcare,1.0,-38.0,26
RadiantMedia,27,696362.0,11.73,Tourism,4.0,36.0,3
QuantumTravel,28,808971.0,6.18,Education,2.0,-8.0,24
PrimeRetail,36,2798730.0,16.5,Tourism,2.0,-17.0,93
HorizonDigital,33,4659463.0,15.27,Media,3.0,-15.0,66
ApexEnergy,20,2103187.0,10.64,Media,3.0,-42.0,90
OrbitEnergy,23,847610.0,14.09,Telecom,2.0,-28.0,66
BeaconHealth,12,3145162.0,18.27,Logistics,2.0,35.0,88
VelocityGlobal,7,2806089.0,1.46,Telecom,2.0,64.0,10
VertexHub,27,3754221.0,4.11,Hospitality,5.0,15.0,73
RadiantHealth,33,1078657.0,15.17,Media,3.0,-20.0,88
SummitEnergy,40,3205448.0,13.43,Ecommerce,1.0,-30.0,10
PrimeHub,31,1928243.0,15.35,Fintech,2.0,69.0,62
HorizonPoint,32,1593932.0,3.64,Tourism,3.0,6.0,18
NimbusGlobal,21,3821691.0,10.94,Ecommerce,5.0,92.0,50
BeaconCore,25,1521540.0,15.63,Energy,1.0,66.0,73
ApexGlobal,1,859607.0,12.06,Manufacturing,2.0,-20.0,6
VertexLink,15,4230950.0,4.86,IT,2.0,-31.0,55
PrimeTech,16,428502.0,18.63,Energy,5.0,-42.0,12
RadiantNet,14,2656338.0,1.36,Media,3.0,-25.0,67
VertexLabs,16,3479233.0,16.04,Logistics,1.0,-59.0,52
FusionTech,4,1350129.0,3.47,Logistics,5.0,38.0,77
RadiantSystems,24,1509795.0,8.82,Hospitality,3.0,37.0,67
VelocityTravel,13,417960.0,11.85,Healthcare,3.0,-28.0,51
ApexTravel,40,560403.0,2.18,Logistics,4.0,37.0,14
SummitHealth,1,69585.0,7.2,Retail,2.0,-34.0,73
NexusLink,14,1603334.0,8.86,Media,3.0,6.0,18
ApexMedia,34,4900776.0,9.29,Education,1.0,54.0,54
SummitFoods,33,3103746.0,5.1,IT,5.0,27.0,18
